date,open,high,low,close
03092024 231500,57908.74000000,57981.00000000,57887.00000000,57950.99000000
03092024 232000,57951.00000000,57985.00000000,57824.00000000,57846.16000000
03092024 232500,57846.16000000,57861.10000000,57693.87000000,57698.00000000
03092024 233000,57698.00000000,57734.82000000,57589.01000000,57623.00000000
03092024 233500,57623.01000000,57732.00000000,57606.00000000,57708.00000000
03092024 234000,57708.00000000,57819.99000000,57707.99000000,57776.00000000
03092024 234500,57776.00000000,57842.91000000,57776.00000000,57835.00000000
03092024 235000,57835.56000000,57897.00000000,57792.00000000,57802.88000000
03092024 235500,57802.87000000,57945.93000000,57790.00000000,57897.95000000
04092024 000000,57897.95000000,58033.00000000,57886.00000000,57988.00000000
04092024 000500,57987.99000000,58018.00000000,57944.00000000,58004.57000000
04092024 001000,58004.57000000,58055.00000000,57962.61000000,58039.99000000
04092024 001500,58040.00000000,58050.00000000,57994.00000000,57994.01000000
04092024 002000,57994.00000000,58035.01000000,57940.00000000,57986.99000000
04092024 002500,57987.00000000,58010.00000000,57911.10000000,57926.00000000
04092024 003000,57925.99000000,58007.00000000,57912.01000000,58006.99000000
04092024 003500,58007.00000000,58070.00000000,58007.00000000,58044.99000000
04092024 004000,58044.99000000,58157.00000000,58012.00000000,58141.11000000
04092024 004500,58141.10000000,58142.86000000,58069.99000000,58142.86000000
04092024 005000,58142.86000000,58251.09000000,58142.86000000,58158.93000000
04092024 005500,58158.92000000,58158.93000000,58004.00000000,58004.00000000
04092024 010000,58004.01000000,58049.40000000,57920.75000000,57940.01000000
04092024 010500,57940.01000000,57945.00000000,57871.10000000,57938.03000000
04092024 011000,57938.03000000,57963.64000000,57860.00000000,57952.00000000
04092024 011500,57952.00000000,57986.52000000,57852.00000000,57986.52000000
04092024 012000,57986.52000000,58044.00000000,57985.00000000,58024.99000000
04092024 012500,58024.98000000,58102.05000000,58002.00000000,58046.00000000
04092024 013000,58045.99000000,58161.00000000,58045.99000000,58123.00000000
04092024 013500,58123.01000000,58181.10000000,58095.00000000,58180.99000000
04092024 014000,58181.00000000,58193.18000000,58137.00000000,58186.00000000
04092024 014500,58186.00000000,58209.00000000,58133.09000000,58159.01000000
04092024 015000,58159.00000000,58247.00000000,58154.00000000,58165.00000000
04092024 015500,58165.00000000,58177.00000000,58136.00000000,58146.00000000
04092024 020000,58146.00000000,58226.00000000,58146.00000000,58190.00000000
04092024 020500,58189.99000000,58206.75000000,58161.11000000,58187.10000000
04092024 021000,58187.10000000,58187.10000000,58080.00000000,58134.00000000
04092024 021500,58134.00000000,58134.01000000,58080.00000000,58084.00000000
04092024 022000,58083.99000000,58161.00000000,58066.00000000,58160.99000000
04092024 022500,58160.99000000,58234.79000000,58160.99000000,58228.00000000
04092024 023000,58228.01000000,58238.00000000,58173.91000000,58174.00000000
04092024 023500,58174.00000000,58186.36000000,58140.00000000,58167.00000000
04092024 024000,58167.00000000,58206.75000000,58152.01000000,58152.01000000
04092024 024500,58152.01000000,58185.00000000,58111.00000000,58111.00000000
04092024 025000,58111.01000000,58111.01000000,58053.99000000,58053.99000000
04092024 025500,58053.99000000,58072.00000000,57957.50000000,57997.27000000
04092024 030000,57997.28000000,58023.00000000,57969.86000000,58022.99000000
04092024 030500,58022.99000000,58039.46000000,58000.00000000,58000.00000000
04092024 031000,58000.01000000,58079.00000000,58000.01000000,58013.00000000
04092024 031500,58013.01000000,58110.00000000,58013.00000000,58041.51000000
04092024 032000,58041.51000000,58070.00000000,58017.00000000,58070.00000000
04092024 032500,58070.00000000,58141.00000000,58069.99000000,58134.61000000
04092024 033000,58134.61000000,58183.68000000,58100.00000000,58154.55000000
04092024 033500,58154.55000000,58167.00000000,57974.00000000,58003.98000000
04092024 034000,58003.99000000,58017.00000000,57932.00000000,58001.51000000
04092024 034500,58001.52000000,58032.98000000,57952.00000000,58032.97000000
04092024 035000,58032.98000000,58062.12000000,57996.00000000,58016.04000000
04092024 035500,58016.04000000,58016.04000000,57942.00000000,57965.01000000
04092024 040000,57965.01000000,57985.00000000,57932.00000000,57935.00000000
04092024 040500,57935.00000000,57943.00000000,57877.00000000,57887.97000000
04092024 041000,57887.96000000,57918.00000000,57880.00000000,57881.00000000
04092024 041500,57881.00000000,57910.00000000,57880.00000000,57902.00000000
04092024 042000,57902.01000000,57902.01000000,57870.00000000,57880.00000000
04092024 042500,57880.01000000,57890.00000000,57863.99000000,57865.00000000
04092024 043000,57865.00000000,57899.00000000,57790.12000000,57817.99000000
04092024 043500,57818.00000000,57818.00000000,57734.69000000,57735.98000000
04092024 044000,57735.99000000,57788.00000000,57719.89000000,57788.00000000
04092024 044500,57788.00000000,57793.00000000,57741.10000000,57778.49000000
04092024 045000,57778.48000000,57811.10000000,57748.00000000,57755.00000000
04092024 045500,57755.00000000,57755.00000000,57663.00000000,57663.00000000
04092024 050000,57663.01000000,57721.44000000,57663.01000000,57695.70000000
04092024 050500,57695.70000000,57695.70000000,57658.00000000,57688.00000000
04092024 051000,57687.99000000,57743.99000000,57682.87000000,57743.99000000
04092024 051500,57744.00000000,57744.00000000,57650.00000000,57650.00000000
04092024 052000,57650.00000000,57699.15000000,57415.00000000,57470.95000000
04092024 052500,57468.01000000,57543.52000000,57423.00000000,57487.73000000
04092024 053000,57487.74000000,57671.27000000,57467.00000000,57658.00000000
04092024 053500,57658.00000000,57765.00000000,57658.00000000,57738.01000000
04092024 054000,57738.00000000,57818.00000000,57711.00000000,57786.00000000
04092024 054500,57786.00000000,57943.53000000,57776.00000000,57921.10000000
04092024 055000,57921.10000000,57931.82000000,57888.00000000,57929.01000000
04092024 055500,57929.01000000,57929.01000000,57782.27000000,57808.01000000
04092024 060000,57808.01000000,57918.00000000,57790.00000000,57896.00000000
04092024 060500,57895.99000000,57896.00000000,57690.00000000,57738.65000000
04092024 061000,57738.65000000,57747.00000000,57664.00000000,57724.01000000
